gender,birth year,gamer,League of Legends,Rocket League,Valorant,Fortnite,Minecraft,Genshin Impact,The Sims,game hours,romantic,go out
Man,2006,yes,no,no,no,no,no,no,no,20-50 hours,Single,2
Woman,2006,yes,no,no,no,yes,yes,no,yes,less than 1 hour,Single,2
Man,2006,yes,no,no,yes,no,no,no,no,5-20 hours,Single,3
Woman,2006,no,no,no,no,no,no,no,no,less than 1 hour,Single,3
Man,2006,yes,no,no,no,no,yes,no,no,1-5 hours,Single,3
Woman,2006,no,no,no,no,no,no,no,no,less than 1 hour,Single,4
Woman,2006,no,no,no,no,no,no,no,no,less than 1 hour,Single,4
Woman,2006,no,no,no,no,no,no,no,no,less than 1 hour,Single,3
Woman,2005,yes,no,no,no,no,yes,no,no,less than 1 hour,Single,2
Man,2003,yes,no,no,no,no,no,no,no,1-5 hours,Single,2
Man,2006,yes,no,no,no,no,no,no,no,1-5 hours,In a relationship,1
Man,2005,yes,yes,yes,yes,yes,yes,yes,no,1-5 hours,In a relationship,2
Woman,2005,yes,no,no,no,no,no,no,no,1-5 hours,In a relationship,2
Man,2006,yes,no,yes,no,no,no,no,no,less than 1 hour,In a relationship,1
Man,2002,yes,no,yes,no,no,no,yes,no,5-20 hours,Single,2
Man,2000,yes,yes,yes,no,yes,no,no,no,5-20 hours,Single,2
Man,2003,yes,no,no,no,no,yes,no,no,less than 1 hour,Single,3
Man,2005,yes,no,yes,no,yes,yes,no,yes,less than 1 hour,Single,3
Man,2005,yes,no,no,no,yes,yes,no,no,5-20 hours,In a relationship,2
Woman,2004,no,no,no,no,no,no,no,no,less than 1 hour,Single,2
Man,2003,yes,no,no,yes,no,yes,no,no,5-20 hours,Single,1
Woman,2005,no,no,no,no,no,no,no,no,less than 1 hour,Single,2
Woman,2003,yes,no,yes,no,yes,yes,no,yes,5-20 hours,In a relationship,2
Woman,2005,no,no,no,no,no,no,no,no,less than 1 hour,In a relationship,3
Woman,2005,yes,no,no,no,no,no,no,no,less than 1 hour,In a relationship,3
Woman,2005,no,no,no,no,no,no,no,no,less than 1 hour,Single,3
Man,2006,yes,no,no,yes,no,no,no,no,1-5 hours,Single,4
Man,2005,yes,no,no,no,no,yes,no,no,5-20 hours,Single,1
Woman,2007,yes,no,no,no,no,yes,no,yes,1-5 hours,Single,4
Man,2005,yes,no,yes,no,yes,no,no,no,5-20 hours,Single,2
Man,2004,yes,no,no,no,yes,no,no,no,20-50 hours,In a relationship,4
Woman,2007,yes,no,no,no,no,yes,no,yes,1-5 hours,Single,4
Man,2005,yes,no,yes,no,yes,yes,no,no,1-5 hours,In a relationship,2
Man,2006,yes,no,no,no,no,no,no,no,20-50 hours,Single,2
Woman,2006,yes,no,no,no,yes,yes,no,yes,less than 1 hour,Single,2
Man,2006,yes,no,no,yes,no,no,no,no,5-20 hours,Single,3
Woman,2006,no,no,no,no,no,no,no,no,less than 1 hour,Single,3
Man,2006,yes,no,no,no,no,yes,no,no,1-5 hours,Single,3
Woman,2006,no,no,no,no,no,no,no,no,less than 1 hour,Single,4
Woman,2006,no,no,no,no,no,no,no,no,less than 1 hour,Single,4
Woman,2006,no,no,no,no,no,no,no,no,less than 1 hour,Single,3
Woman,2005,yes,no,no,no,no,yes,no,no,less than 1 hour,Single,2
Man,2003,yes,no,no,no,no,no,no,no,1-5 hours,Single,2
Man,2006,yes,no,no,no,no,no,no,no,1-5 hours,In a relationship,1
Man,2005,yes,yes,yes,yes,yes,yes,yes,no,1-5 hours,In a relationship,2
Woman,2005,yes,no,no,no,no,no,no,no,1-5 hours,In a relationship,2
Man,2006,yes,no,yes,no,no,no,no,no,less than 1 hour,In a relationship,1
Man,2002,yes,no,yes,no,no,no,yes,no,5-20 hours,Single,2
Man,2000,yes,yes,yes,no,yes,no,no,no,5-20 hours,Single,2
Man,2003,yes,no,no,no,no,yes,no,no,less than 1 hour,Single,3
Man,2005,yes,no,yes,no,yes,yes,no,yes,less than 1 hour,Single,3
Man,2005,yes,no,no,no,yes,yes,no,no,5-20 hours,In a relationship,2
Woman,2004,no,no,no,no,no,no,no,no,less than 1 hour,Single,2
Woman,2005,no,no,no,no,no,no,no,no,less than 1 hour,Single,2
Woman,2003,yes,no,yes,no,yes,yes,no,yes,5-20 hours,In a relationship,2
Woman,2005,no,no,no,no,no,no,no,no,less than 1 hour,In a relationship,3
Woman,2005,no,no,no,no,no,no,no,no,less than 1 hour,Single,3
